Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 02.601.02.150.10 2008 (5119),5119,SANTA BARBARA HARROBIA-BIRGAITZEA,2008,0.0,11538.56
1 02.226.96.231.02 2014 (4924),4924,H.GASTU:INMIGRAZIOA,2014,0.0,0.0
1 02.226.99.231.00 2014 (5077),5077,H.GASTU:BERDINTASUNA,2014,0.0,0.0
1 02.227.07.170.00 2014 (4943),4943,AZTERKETAK:INGURUGIROA,2014,0.0,0.0
1 02.601.01.150.10 2014 (4970),4970,LATSUNBE-URBIETA-IGOGAILUA,2014,0.0,4383.85
1 02.622.01.342.00 2014 (4972),4972,KIROLDEGIA-ALDAGELAK-FASE I,2014,0.0,120680.35
1 02.623.99.334.00 2014 (4977),4977,KULTURETXEA-SEKTORIZAZIOA,2014,0.0,8834.88
1 02.624.01.132.00 2014 (4978),4978,IBILGAILUA-UDALTZAINGOA,2014,0.0,21902.82
1 02.629.01.341.00 2014 (4980),4980,KIROL SAILA-INBERTSIOAK,2014,0.0,0.0
1 02.643.01.150.10 2014 (4981),4981,PROIEKTUAK: HIRIGINTZA,2014,0.0,0.0
1 02.644.01.920.20 2014 (4983),4983,APLIKAZIO INFORMATIKOAK,2014,0.0,0.0
1 02.681.01.931.00 2014 (4985),4985,LURZORU EROSKETA,2014,0.0,10000.0
1 05.210.01.153.70 2014 (4987),4987,MANTEN:LANDA BIDEAK,2014,0.0,1055.94
1 02.211.01.342.00 2015 (4908),4908,MANTEN:KIROLDEGIA,2015,0.0,0.0
1 02.215.01.920.20 2015 (4910),4910,MANT:EKIPO INFORMATIKOA,2015,0.0,1494.67
1 02.221.05.920.10 2015 (4911),4911,ARROPAK,2015,0.0,1103.52
1 02.221.14.342.00 2015 (4912),4912,KIROL MATERIALA,2015,0.0,3535.42
1 02.226.03.334.00 2015 (4913),4913,PUBLIZITATEA: KULTURA ZERBITZUA,2015,0.0,0.0
1 02.226.06.231.03 2015 (4915),4915,GAZTERIA PROIEKTUAK,2015,0.0,5372.4
1 02.226.06.323.00 2015 (4916),4916,KULTUR EKINTZAK:IKASTETXEAK,2015,0.0,3327.91
1 02.226.06.335.00 2015 (4918),4918,EKINTZA-KANPAINA:EUSKARA ZERBITZUA,2015,0.0,1936.0
1 02.226.96.170.10 2015 (4922),4922,ESKOLAKO AGENDA 21,2015,0.0,0.0
1 02.226.96.231.02 2015 (4925),4925,BESTE PROGR.INMIGRAZIOA,2015,0.0,1920.0
1 02.226.97.231.00 2015 (4926),4926,BESTE PROGR.BERDINTASUNA,2015,0.0,9270.62
1 02.226.99.432.00 2015 (4938),4938,MATERIALA.BESTE. TURISMOA,2015,0.0,3599.02
1 02.226.99.920.11 2015 (4940),4940,MATERIALA.SEGURT.OSASUNA,2015,0.0,2994.75
1 02.227.04.323.20 2015 (4941),4941,INGURUGIRO HEZKUNTZAKO KONTRATUA,2015,0.0,0.0
1 02.227.07.170.00 2015 (4944),4944,AZTERKETAK:INGURUGIROA,2015,0.0,16000.0
1 02.227.07.323.00 2015 (4945),4945,HEZKUNTZA PROIEKTUAK,2015,0.0,24244.8
1 02.227.07.335.00 2015 (4946),4946,AZTERKETAK:EUSKARA ZERBITZUA,2015,0.0,1300.0
1 02.227.98.231.00 2015 (5054),5054,PROG.EMAKUMEEN INDARKERIA:BERDINTASUNA,2015,0.0,9880.2
1 02.227.99.920.00 2015 (4952),4952,HAINB.KONTRATU ADMIN.OROKORRA,2015,0.0,0.0
1 02.480.01.230.02 2015 (4956),4956,DIRULAG:SAHARAKO KANPAM.,2015,0.0,640.0
1 02.481.01.241.00 2015 (4957),4957,BERRIAK ELKARTEA-HITZARMENA,2015,0.0,5600.0
1 02.481.01.323.00 2015 (4958),4958,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,2015,0.0,3603.0
1 02.481.01.912.00 2015 (4963),4963,DIRULAGUNTZAK:GOBERNU ORGANOAK,2015,0.0,7254.9
1 02.481.02.230.02 2015 (4965),4965,TRANSFERENTZIA: HIRUGARREN MUNDUA,2015,0.0,146300.0
1 02.481.02.231.03 2015 (4966),4966,ALOKAIRU DIRULAG-GAZTERIA,2015,0.0,73784.6
1 02.481.02.334.10 2015 (4967),4967,DIRULAG:AUZO ELKARTEAK,2015,0.0,3223.36
1 02.481.02.335.00 2015 (4968),4968,DIRULAG.:EUSKARA (ZUZENAK),2015,0.0,34277.15
1 02.481.03.912.00 2015 (4969),4969,DIRULAG.FIARE-ETXEGABETZE EGOERAK,2015,0.0,30000.0
1 02.481.05.924.00 2015 (5105),5105,AUZOLAN PROGRAMAK,2015,0.0,0.0
1 02.601.01.150.10 2015 (4971),4971,ELORRABIKOA ZUBIA,2015,0.0,0.0
1 02.601.02.150.10 2015 (5118),5118,URBANIZAZIO EJEKUZIO DIFERITUAK-2015,2015,0.0,0.0
1 02.601.11.150.10 2015 (5080),5080,ETXEBERRI URBANIZAZIOA-1 FASEA,2015,0.0,12680.8
1 02.601.12.150.10 2015 (5106),5106,KARABEL URBANIZAZIOA-UHOLDEAK HITZARMENA,2015,0.0,264642.73
1 02.622.01.342.00 2015 (4973),4973,KIROLDEGIA-ALDAGELAK-FASE I,2015,0.0,19584.68
1 02.622.01.342.01 2015 (4974),4974,INBERTSIOAK.AISIALDI IGERILEKUAK,2015,0.0,12393.57
1 02.622.01.342.09 2015 (4975),4975,ATLETISMO PISTA,2015,0.0,2986.03
1 02.623.02.342.00 2015 (4976),4976,INBERTSIOAK.KIROLA-PARTEHARTZE PROZESUA,2015,0.0,6317.95
1 02.629.01.334.00 2015 (4979),4979,KULTURA-INBERTSIOAK,2015,0.0,0.0
1 02.643.01.150.10 2015 (4982),4982,PROIEKTUAK: HIRIGINTZA,2015,0.0,29375.17
1 02.644.01.920.20 2015 (4984),4984,APLIKAZIO INFORMATIKOAK,2015,0.0,13721.4
1 05.210.01.153.20 2015 (4986),4986,MANTEN:HERRIKO KALEAK,2015,0.0,13383.64
1 05.210.01.161.00 2015 (4989),4989,MANTEN:URAK,2015,0.0,0.0
1 05.210.01.165.00 2015 (4990),4990,MANTEN:KALEKO ARGIKUNTZA,2015,0.0,2533.44
1 05.210.01.171.00 2015 (4991),4991,MANTEN:PARKEAK ETA LORATEGIAK,2015,0.0,5239.3
1 05.210.01.414.00 2015 (4992),4992,MANT:INGURUNEAREN HOBEKUNTZA,2015,0.0,0.0
1 05.211.01.323.10 2015 (4993),4993,MANTEN.ERAIKINAK:IKASTETXEAK,2015,0.0,226.48
1 05.226.99.135.00 2015 (5005),5005,MATERIALA.BABES ZIBILA,2015,0.0,3737.26
1 05.226.99.162.10 2015 (5007),5007,MATERIALA.HONDAKINEN KUDEAKETA,2015,0.0,0.0
1 05.227.01.920.02 2015 (5010),5010,GARBITZEKO KONT:UDAL ERAIKINAK,2015,0.0,2081.2
1 05.227.98.153.50 2015 (5011),5011,KARTOGRAFIEN MANTENTZE KONTRATUA,2015,0.0,2178.0
1 05.601.01.153.20 2015 (5019),5019,AZPIEGITURA ETA URBANIZ.:HERRIKO KALEAK,2015,0.0,19830.23
1 05.601.01.153.70 2015 (5020),5020,LANDA BIDEAK-NEGUKO PLANA,2015,0.0,60427.39
1 05.609.01.134.00 2015 (5021),5021,IRISGARRITASUN PLANA,2015,0.0,3294.83
1 05.609.01.153.30 2015 (5107),5107,URBANIZAZIOA: BESTE GUNEAK,2015,0.0,0.0
1 05.609.02.153.30 2015 (5108),5108,HAUR PARKEA-ATLETISMO PISTA,2015,0.0,0.0
1 05.622.01.311.01 2015 (5024),5024,KOMUN PUBLIKOAK,2015,0.0,0.0
1 05.622.01.323.10 2015 (5025),5025,IKASTETXEAK-ERAIKUNTZA OBRAK,2015,0.0,300039.35
1 05.623.01.153.30 2015 (5109),5109,MAKINARIA.HERRIKO KALEAK,2015,0.0,31115.15
1 05.623.02.161.00 2015 (5028),5028,UR HORNIDURA-ORIAMENDI DEPOSITOA,2015,0.0,2400.0
1 05.625.99.162.10 2015 (5032),5032,KONPOST KOMUNITARIOA EGITEKO MATERIALA,2015,0.0,26380.29
1 01.100.01.912.00 2016 (4245),4245,SOLDATAK.GOBERNU ORGANOAK,2016,128516.0,144370.68
1 01.110.01.912.00 2016 (4246),4246,ALDIBATERAKOAK.SOLDATAK.GOBERNU ORGANOAK,2016,98452.0,87971.52
1 01.120.01.132.00 2016 (4247),4247,FUNTZIONARIOAK.SOLDATA.OINARRIA.UDALTZAI,2016,370247.0,303430.68
1 01.120.01.150.00 2016 (4248),4248,FUNTZIONARIOAK.SOLDATA.OINARRIA.HIRIGINT,2016,103242.0,67074.83
1 01.120.01.153.40 2016 (4249),4249,FUNTZIONARIOAK.SOLDATA.OINARRIA.OBRETAKO,2016,161149.0,107429.15
1 01.120.01.153.50 2016 (4250),4250,FUNTZIONARIOAK.SOLDATA.OINARRIA.ZERBITZU,2016,29050.0,32126.18
1 01.120.01.161.00 2016 (4251),4251,FUNTZIONARIOAK.SOLDATA.OINARRIA.UR HORNI,2016,31475.0,25909.0
1 01.120.01.164.00 2016 (4252),4252,FUNTZIONARIOAK.SOLDATA.OINARRIA.HILERRIA,2016,8206.0,11303.26
1 01.120.01.165.00 2016 (4253),4253,FUNTZIONARIOAK.SOLDATA.OINARRIA.KALEKO A,2016,37604.0,46302.42
1 01.120.01.170.00 2016 (4254),4254,FUNTZIONARIOAK.SOLDATA.OINARRIA.INGURUGI,2016,37506.0,38101.39
1 01.120.01.171.00 2016 (4255),4255,FUNTZIONARIOAK.SOLDATA.OINARRIA.PARKEAK,2016,15299.0,12832.28
1 01.120.01.230.02 2016 (4256),4256,FUNTZIONARIOAK.SOLDATA.OINARRIA.LANKIDET,2016,2143.0,687.87
1 01.120.01.231.00 2016 (4257),4257,FUNTZIONARIOAK.SOLDATA.OINARRIA.BERDINTA,2016,41338.0,44095.73
1 01.120.01.231.03 2016 (4867),4867,FUNTZIONARIOA.SOLDATA.OINARRIA. GAZTERIA,2016,14243.0,14935.5
1 01.120.01.241.00 2016 (4258),4258,FUNTZIONARIOA.SOLDATA.OINARRIA. TOKI GAR,2016,50482.0,51113.51
1 01.120.01.323.00 2016 (4259),4259,FUNTZIONARIOA.SOLDATA.OINARRIA.IKASTETXE,2016,43024.0,39730.44
1 01.120.01.326.01 2016 (4261),4261,FUNTZIONARIOA.SOLDATA.OINARRIA.MUSIKA ES,2016,220277.0,220966.96
1 01.120.01.330.00 2016 (4262),4262,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTURA Z,2016,28085.0,29466.76
1 01.120.01.332.10 2016 (4263),4263,FUNTZIONARIOA.SOLDATA.OINARRIA.LIBURUTEG,2016,82997.0,82780.87
1 01.120.01.333.00 2016 (4264),4264,FUNTZIONARIOA.SOLDATA.OINARRIA.KULTUR ET,2016,22726.0,22375.45
1 01.120.01.335.00 2016 (4265),4265,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA Z,2016,53138.0,61751.33
1 01.120.01.335.10 2016 (4266),4266,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKALTEG,2016,135346.0,140043.24
1 01.120.01.335.30 2016 (4267),4267,FUNTZIONARIOA.SOLDATA.OINARRIA.EUSKARA P,2016,38056.0,29995.04
1 01.120.01.335.40 2016 (4268),4268,FUNTZIONARIOAK.ORDAINKETA.OINARRIZKOA.UD,2016,0.0,54394.38
1 01.120.01.342.00 2016 (4269),4269,FUNTZIONARIOAK.SOLDATA.OINARRIA.KIROLDEG,2016,168110.0,173969.77
1 01.120.01.342.01 2016 (4270),4270,FUNTZIONARIOA.SOLDATA.OINARRIA.IGERILEKU,2016,7755.0,3976.77
1 01.120.01.414.00 2016 (4271),4271,FUNTZIONARIOA.SOLDATA.OINARRIA.INGURUNEA,2016,10492.0,10600.9
1 01.120.01.432.00 2016 (4272),4272,FUNTZIONARIOA.SOLDATA.OINARRIA.TURISMOA,2016,17661.0,17669.81
1 01.120.01.912.00 2016 (5129),5129,FUNTZIONARIOA.SOLDATA.OINARRIA.GOBERNU O,2016,0.0,3145.82
1 01.120.01.920.00 2016 (4273),4273,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,2016,124903.0,126809.25
1 01.120.01.920.10 2016 (4274),4274,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,2016,47214.0,70203.4
1 01.120.01.920.11 2016 (4275),4275,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,2016,19028.0,12585.12
1 01.120.01.920.20 2016 (4276),4276,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,2016,29209.0,29130.74
1 01.120.01.920.30 2016 (4277),4277,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,2016,34158.0,19021.35
1 01.120.01.929.10 2016 (4278),4278,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,2016,3763.0,2940.17
1 01.120.01.931.00 2016 (4279),4279,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,2016,119919.0,132103.37
1 01.120.01.932.00 2016 (4280),4280,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,2016,81624.0,67168.37
1 01.120.01.933.00 2016 (4281),4281,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,2016,34975.0,32986.0
1 01.120.02.920.10 2016 (4868),4868,LANPOSTUEN AZTERKETA.SOLDATAK,2016,300000.0,0.0
1 01.121.06.920.10 2016 (4282),4282,LANGILEEN ORDEZKAPENETARAKO POLTSA,2016,141400.0,0.0
1 01.121.99.132.00 2016 (4283),4283,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,2016,689541.0,747707.11
1 01.121.99.150.00 2016 (4284),4284,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,2016,150437.0,114213.15
1 01.121.99.153.40 2016 (4285),4285,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,2016,256651.0,227336.26
1 01.121.99.153.50 2016 (4286),4286,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ZERBITZU,2016,40053.0,67221.05
1 01.121.99.161.00 2016 (4287),4287,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,2016,59811.0,51197.47
1 01.121.99.164.00 2016 (4288),4288,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,2016,18857.0,28670.84
1 01.121.99.165.00 2016 (4289),4289,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,2016,75935.0,100694.96
1 01.121.99.170.00 2016 (4290),4290,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUGI,2016,39761.0,40437.55
1 01.121.99.171.00 2016 (4291),4291,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PARKEAK,2016,18711.0,17114.92
1 01.121.99.230.02 2016 (4292),4292,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,2016,496.0,2144.57
1 01.121.99.231.00 2016 (4293),4293,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,2016,59729.0,60131.03
1 01.121.99.231.03 2016 (4869),4869,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,2016,20186.0,20143.04
1 01.121.99.241.00 2016 (4294),4294,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,2016,75817.0,69849.05
1 01.121.99.323.00 2016 (4295),4295,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,2016,76676.0,81364.15
1 01.121.99.326.01 2016 (4297),4297,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,2016,244612.0,247428.65
1 01.121.99.330.00 2016 (4298),4298,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,2016,42592.0,42549.6
1 01.121.99.332.10 2016 (4299),4299,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,2016,86974.0,100144.67
1 01.121.99.333.00 2016 (4300),4300,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,2016,34233.0,68508.74
1 01.121.99.335.00 2016 (4301),4301,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2016,58389.0,78371.85
1 01.121.99.335.10 2016 (4302),4302,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,2016,145154.0,160958.22
1 01.121.99.335.30 2016 (4303),4303,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,2016,37295.0,29272.72
1 01.121.99.335.40 2016 (4304),4304,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,2016,71137.0,12924.48
1 01.121.99.342.00 2016 (4305),4305,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,2016,248614.0,255900.59
1 01.121.99.342.01 2016 (4306),4306,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,2016,11914.0,11169.25
1 01.121.99.414.00 2016 (4307),4307,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,2016,18711.0,19011.73
1 01.121.99.432.00 2016 (4308),4308,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TURISMOA,2016,18648.0,18619.73
1 01.121.99.912.00 2016 (4309),4309,FUNTZIONARIOA.SOLDATA.OSAGARRIA.GOBERNU,2016,7055.0,5806.39
1 01.121.99.920.00 2016 (4310),4310,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2016,166698.0,195988.12
1 01.121.99.920.10 2016 (4311),4311,FUNTZIONARIOA.SOLDATA.OSAGARRIA.PERTSONA,2016,67320.0,106362.32
1 01.121.99.920.11 2016 (4312),4312,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LAN SEGU,2016,27006.0,33448.95
1 01.121.99.920.20 2016 (4313),4313,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INFORMAT,2016,45605.0,45906.87
1 01.121.99.920.30 2016 (4314),4314,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ARTXIBOA,2016,40470.0,21039.65
1 01.121.99.929.10 2016 (4315),4315,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BAKE EPA,2016,4892.0,5728.52
1 01.121.99.931.00 2016 (4316),4316,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ADMINIST,2016,159653.0,185190.65
1 01.121.99.932.00 2016 (4317),4317,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BILKETA,2016,101986.0,88218.38
1 01.121.99.933.00 2016 (4318),4318,FUNTZIONARIOA.SOLDATA.OSAGARRIA.ONDAREA-,2016,47962.0,46261.94
1 01.130.99.323.00 2016 (4319),4319,LABORALA.SOLDATA.OSAGARRIA. IKASTETXEAK,2016,0.0,0.0
1 01.130.99.333.00 2016 (4320),4320,LABORALA.SOLDATA.OSAGARRIA.KULTUR ETXEA,2016,0.0,0.0
1 01.131.01.241.01 2016 (4321),4321,ALDIBATERAKO.SOLDATA.IKASTAROAK.,2016,38279.0,11332.0
1 01.131.01.241.02 2016 (4322),4322,ALDIBATERAKO.SOLDATA.LANBIDE PROGRAMAK,2016,27270.0,84440.23
1 01.131.01.241.03 2016 (4323),4323,ALDIBATERAKO.SOLDATA.ALDUNDIA PROGRAMAK,2016,29391.0,0.0
1 01.131.01.323.00 2016 (4324),4324,ALDIBATERAKO.SOLDATA.IKASTETXEAK,2016,0.0,0.0
1 01.131.01.324.10 2016 (4325),4325,ALDIBATERAKO.SOLDATA.HLP PROGRAMAK,2016,103172.0,102404.13
1 01.131.01.333.00 2016 (4326),4326,ALDIBATERAKO.SOLDATA.KULTUR ETXEA,2016,5140.0,0.0
1 01.131.01.335.40 2016 (5125),5125,ALDIBATERAKO. UDALEKUAK MONITOREAK,2016,0.0,2623.23
1 01.131.01.342.00 2016 (4327),4327,ALDIBATERAKO.SOLDATA.KIROLDEGIA,2016,14752.0,0.0
1 01.131.02.342.00 2016 (4328),4328,ALDIBATERAKO.SOLDATA.LAN BEREZIAK,2016,0.0,0.0
1 01.160.01.132.00 2016 (4329),4329,GIZ.SEGURANTZA.UDALTZAINGOA,2016,313172.0,243039.06
1 01.160.01.150.00 2016 (4330),4330,GIZ.SEGURANTZA.HIRIGINTZA,2016,66336.0,37678.12
1 01.160.01.153.40 2016 (4331),4331,GIZ.SEGURANTZA.OBRETAKO LANTALDEA,2016,129441.0,101120.16
1 01.160.01.153.50 2016 (4332),4332,GIZARTE SEGUR:ZERBITZU PUBLIKOAK,2016,18138.0,12801.02
1 01.160.01.161.00 2016 (4333),4333,GIZ.SEGURANTZA.UR HORNIDURA,2016,33326.0,24070.96
1 01.160.01.164.00 2016 (4334),4334,GIZARTE SEGUR:HILERRIA,2016,8617.0,8268.17
1 01.160.01.165.00 2016 (4335),4335,GIZ.SEGURANTZA.KALEKO ARGIKUNTZA,2016,38359.0,46519.23
1 01.160.01.170.00 2016 (4336),4336,GIZARTE SEGUR:INGURUGIROA,2016,20117.0,20435.08
1 01.160.01.171.00 2016 (4337),4337,GIZ.SEGURANTZA.PARKEAK ETA LORATEGIAK,2016,13245.0,10099.99
1 01.160.01.230.02 2016 (4338),4338,GIZARTE SEGUR:LANKIDETZA,2016,0.0,875.49
1 01.160.01.231.00 2016 (4339),4339,GIZARTE SEGUR:BERDINTASUNA,2016,30172.0,29502.28
1 01.160.01.231.03 2016 (4870),4870,GIZARTE SEGUR. GAZTERIA,2016,10875.0,10997.16
